date,PET.MCRIMXX2.M,STEO.COPC_OPEC.M,STEO.COPRPUS.M,STEO.COPS_OPEC.M,STEO.CORIPUS.M,STEO.PAPR_NONOPEC.M,STEO.PAPR_OPEC.M,STEO.PASC_OECD_T3.M,STEO.PATC_NON_OECD.M,STEO.PATC_OECD.M,STEO.T3_STCHANGE_NOECD.M,STEO.T3_STCHANGE_OOECD.M,CPIENGSL,CAPG211S,CAPUTLG211S,IPG211S,IPG211111CN,INDPRO,IPN213111N,PCU211211,WTISPLC,GPR,SP500_returns,OECD.GDP.GROWTH,Non-OECD.GDP.GROWTH,exchange_rate,oil_price_return
1995-02-01,3354.0,27.797695,6.794452,4.1008831172,13.365,44.103120286,26.141077771,3041.3043734000003,24.302190694,47.740445646,0.8917490928820001,0.333532258064,105.8,67.448,93.7514,63.2334,104.3949,71.1758,78.8174,66.9,18.53,76.87532806396484,0.0360741480725925,2.68495830328126,3.29892649475605,1.0888899303595,0.030016675931072934
1995-03-01,3754.0,27.797695,6.600412,4.4788426503,13.48,43.64155585,25.763118238,2666.3222598,24.302534128,46.711553984,-0.045660960391999995,0.24872989219020009,105.5,67.387,92.6465,62.4317,101.4128,71.2796,72.1156,65.7,18.55,82.24444580078125,0.0273291951133807,2.68495830328126,3.29892649475605,1.0021427944663999,0.0010793308148946412
1995-04-01,3307.0,27.797695,6.603716,3.9788426503,13.817,44.051764632,26.269971823,3032.8729787999996,24.116910061,44.101673031,-0.17178751689600005,0.5613341935480001,105.6,67.3196,93.4009,62.8771,101.4635,71.1538,72.6453,68.3,19.87,99.19087982177734,0.0279603578049114,2.68495830328126,3.29892649475605,1.08676625070584,0.07115902964959564
1995-05-01,3487.0,27.797695,6.629316,3.4688426503,14.303,43.531940015,26.786825408,3069.8877397999995,24.116677834,43.439845077,1.169679191112,-0.6872150537720001,105.8,67.2484,93.6915,63.0061,101.8574,71.4997,78.9054,69.2,19.74,87.842529296875,0.0363117126994647,2.68495830328126,3.29892649475605,1.0859346753246801,-0.006542526421741468
1995-06-01,3833.0,27.797695,6.578628,4.1388426503,14.553,43.167172713,26.103118238,2607.94388578,24.116952581,44.50219465,-0.07487018401200003,0.38623311799820004,106.7,67.1746,93.575,62.8587,101.0789,71.7327,77.3446,69.1,18.42,104.60775756835938,0.0212785434316493,2.68495830328126,3.29892649475605,0.99465084208544,-0.06686930091185395
1995-07-01,3635.0,27.797695,6.448772,3.818717672,14.403,43.868067451,26.451027813,2936.6039994800003,24.172613985,43.181334424,1.035696147218,-0.347254224288,105.8,67.1017,93.2879,62.5978,99.0841,71.4334,82.366,65.7,17.3,107.64541625976562,0.0317760395752064,2.68495830328126,3.29892649475605,1.0252252294372202,-0.06080347448425627
1995-08-01,3471.0,27.797695,6.446652,3.5676754869,14.276,43.751807532,26.702069998,3062.3991682,24.172126635,45.078043592,1.2652888579319999,-0.26339569893200004,105.6,67.0315,92.9556,62.3096,99.0508,72.3723,84.1415,61.8,18.03,106.93478393554688,-0.0003202374774278,2.68495830328126,3.29892649475605,1.0859346753246801,0.04219653179190752
1995-09-01,3970.0,27.797695,6.416133,3.7680155647,14.402,44.442400383,26.494876336,2646.4717999,24.172463528,45.294803244,0.5294201040559999,0.04624129031400003,104.1,66.9651,92.8118,62.1515,98.5829,72.6543,84.7415,63.5,18.23,71.20516967773438,0.0400974728873253,2.68495830328126,3.29892649475605,1.04190084848484,0.011092623405435376
1995-10-01,3610.0,27.797695,6.421125,3.5680155647,13.598,43.833883973,26.694876336,2938.2566142799997,24.908953174,44.555690742,0.80542251213,-0.46321551461,104.4,66.904,91.5599,61.2572,98.6565,72.5336,86.2697,63.7,17.44,67.74150085449219,-0.0049793351897702,2.68495830328126,3.29892649475605,1.04193903896104,-0.04333516182117381
1995-11-01,3695.0,27.797695,6.585309,3.897973572,13.833,44.497088796,26.330650405,2728.1297686,24.909241005,47.336698307,0.4039506486600001,0.09250193520220004,103.4,66.8484,93.8458,62.7344,101.1818,72.717,86.7493,66.0,17.99,76.33349609375,0.0410490027810619,2.68495830328126,3.29892649475605,1.0021427944663999,0.03153669724770625
